Rate,Blockheight
8.4,20779106
24.6,20778407
19.8,20778261
19.8,20777424
6.8,20776487
6.5,20776067
6.2,20776066
13.0,20776019
76.0,20775957
6.4,20775300
13.0,20775111
6.4,20771463
6.8,20769734
6.9,20768323
7.4,20768069
15.0,20766833
149.0,20766423
6.9,20766169
6.3,20766044
11.8,20765425
15.0,20764865
9.9,20764832
6.9,20764219
7.6,20763921
7.4,20763610
9.4,20763457
15.0,20763252
114.3,20763249
16.9,20763064
15.0,20762160
65.0,20761987
15.0,20760988
15.0,20760848
9.9,20760793
7.4,20760607
15.0,20760570
6.8,20760536
6.6,20758955
19.9,20758224
19.9,20758224
17.0,20758099
65.0,20757833
6.9,20757824
17.9,20757414
7.0,20757396
11.8,20757392
6.8,20757085
8.4,20756794
7.9,20755456
6.9,20755342
8.5,20755182
8.5,20755178
7.5,20754847
9.6,20752551
60.0,20750893
10.0,20750644
9.9,20750442
8.2,20750436
11.1,20749615
12.0,20749311
9.0,20747762
12.0,20747340
7.0,20746604
16.8,20744272
16.9,20743439
6.7,20743266
8.7,20742428
9.5,20742410
12.0,20742356
7.0,20741099
12.0,20740411
7.2,20739807
7.1,20738858
7.5,20738856
6.4,20738159
12.0,20737927
16.9,20736189
16.9,20735948
998.4,20735783
15.0,20735368
10.0,20735120
15.0,20734526
15.0,20734006
15.0,20733073
10.0,20732969
8.7,20732764
8.7,20732688
8.7,20732677
9.2,20732666
8.9,20732659
15.0,20732101
0.0,20731699
10.0,20731693
9.2,20731676
8.0,20731259
10.0,20731113
69.9,20730549
0.0,20730206
7.9,20729487
15.0,20729113
15.0,20728642
10.0,20727951
8.8,20727486
114.4,20727280
0.0,20726231
10.0,20725925
10.0,20725893
10.0,20725834
10.0,20725831
10.0,20725797
15.0,20725490
110.0,20725471
9.9,20724680
8.8,20724606
9.6,20723619
119.0,20723544
9.0,20723147
8.0,20723098
7.8,20723088
9.2,20722819
7.9,20721964
10.0,20721899
16.9,20721722
8.0,20721676
16.9,20721580
15.0,20720982
0.0,20720965
0.0,20720953
5.5,20720727
0.0,20719945
5.2,20719380
5.4,20718774
0.0,20718752
19.2,20718568
0.0,20718552
9.8,20717982
0.0,20717689
9.8,20716266
4.0,20716197
9.5,20715655
8.7,20715364
10.0,20714339
4.8,20714095
4.8,20713811
9.1,20713590
5.0,20713501
5.0,20713496
18.0,20713154
18.0,20712982
5.1,20712962
18.0,20712809
18.0,20712808
5.2,20712769
15.0,20712729
15.0,20712725
15.0,20712620
5.3,20712611
5.4,20712208
5.5,20712038
5.5,20711959
5.8,20711605
5.9,20711386
15.0,20710220
191.9,20710173
9.7,20709968
89.0,20709038
6.9,20709023
9.5,20708170
18.0,20707288
18.0,20707277
11.0,20706982
10.9,20706648
7.5,20706626
7.2,20706296
7.2,20706293
7.7,20705900
11.9,20705474
8.0,20705326
6.8,20704438
6.7,20704210
6.8,20704183
19.9,20703487
19.9,20703356
11.0,20703310
6.7,20703145
7.0,20702449
7.4,20701721
7.1,20701481
6.8,20701064
9.5,20701003
19.9,20700903
19.9,20700895
9.8,20700540
19.9,20700477
19.9,20700278
19.9,20700196
8.9,20699648
19.9,20699408
7.9,20699328
5.9,20698800
8.0,20698799
6.0,20698798
6.0,20698797
7.9,20698795
7.9,20698794
19.9,20698753
6.0,20698617
6.0,20698617
6.0,20698599
6.0,20698599
6.0,20698599
6.0,20698599
6.0,20698599
6.0,20698599
6.0,20698599
6.0,20698599
6.0,20698562
6.0,20698562
6.0,20698562
2.8,20697377
1.8,20697272
11.0,20697158
2.2,20696415
83.0,20696387
2.3,20696332
3.3,20696187
3.4,20695939
11.6,20695794
21.3,20695365
21.6,20695150
7.8,20694971
23.8,20693518
3.3,20693355
11.8,20692994
24.7,20692823
24.9,20692710
24.9,20692451
24.9,20692371
9.0,20692155
14.7,20691241
4.4,20690809
24.6,20690281
4.6,20690204
9.8,20690177
33.8,20689525
0.0,20689263
0.0,20689262
0.0,20689261
